munic;codigo_ibge;latitude;longitude
Ibitinga;3519600;-21.7562;-48.8319
Ibiúna;3519709;-23.6596;-47.223
Icém;3519808;-20.3391;-49.1915
Iepê;3519907;-22.6602;-51.0779
Igaraçu do Tietê;3520004;-22.509;-48.5597
Igarapava;3520103;-20.0407;-47.7466
Igaratá;3520202;-23.2037;-46.157
Iguape;3520301;-24.699;-47.5537
Ilha Comprida;3520426;-24.7307;-47.5383
Ilha Solteira;3520442;-20.4326;-51.3426
Ilhabela;3520400;-23.7785;-45.3552
Indaiatuba;3520509;-23.0816;-47.2101
Indiana;3520608;-22.1738;-51.2555
Indiaporã;3520707;-19.979;-50.2909
Inúbia Paulista;3520806;-21.7695;-50.9633
Ipaussu;3520905;-23.0575;-49.6279
Iperó;3521002;-23.3513;-47.6927
Ipeúna;3521101;-22.4355;-47.7151
Ipiguá;3521150;-20.6557;-49.3842
Iporanga;3521200;-24.5847;-48.5971
Ipuã;3521309;-20.4438;-48.0129
Iracemápolis;3521408;-22.5832;-47.523
Irapuã;3521507;-21.2768;-49.4164
Irapuru;3521606;-21.5684;-51.3472
Itaberá;3521705;-23.8638;-49.14
Itaí;3521804;-23.4213;-49.092
Itajobi;3521903;-21.3123;-49.0629
Itaju;3522000;-21.9857;-48.8116
Itanhaém;3522109;-24.1736;-46.788
Itaóca;3522158;-24.6393;-48.8413
Itapecerica da Serra;3522208;-23.7161;-46.8572
Itapetininga;3522307;-23.5886;-48.0483
Itapeva;3522406;-23.9788;-48.8764
Itapevi;3522505;-23.5488;-46.9327
Itapira;3522604;-22.4357;-46.8224
Itapirapuã Paulista;3522653;-24.572;-49.1661
Itápolis;3522703;-21.5942;-48.8149
Itaporanga;3522802;-23.7043;-49.4819
Itapuí;3522901;-22.2324;-48.7197
Itapura;3523008;-20.6419;-51.5063
Itaquaquecetuba;3523107;-23.4835;-46.3457
Itararé;3523206;-24.1085;-49.3352
Itariri;3523305;-24.2834;-47.1736
Itatiba;3523404;-23.0035;-46.8464
Itatinga;3523503;-23.1047;-48.6157
Itirapina;3523602;-22.2562;-47.8166
Itirapuã;3523701;-20.6416;-47.2194
