"Localidades";"Períodos";"População ";"População Masculina ";"População Feminina ";"Razão de Sexos ";"População Urbana ";"População Rural ";"Grau de Urbanização (Em %)";"Cód. IBGE"
"Tarumã";"2020";"14806";"7514";"7292";"103,04";"14093";"713";"95,18";3553955
"Tatuí";"2020";"120123";"59175";"60948";"97,09";"116699";"3424";"97,15";3554003
"Taubaté";"2020";"307361";"150507";"156854";"95,95";"301096";"6265";"97,96";3554102
"Tejupá";"2020";"4697";"2385";"2312";"103,16";"3593";"1104";"76,5";3554201
"Teodoro Sampaio";"2020";"22414";"11076";"11338";"97,69";"18533";"3881";"82,68";3554300
"Terra Roxa";"2020";"9121";"4589";"4532";"101,26";"8779";"342";"96,25";3554409
"Tietê";"2020";"41073";"20308";"20765";"97,8";"37528";"3545";"91,37";3554508
"Timburi";"2020";"2557";"1309";"1248";"104,89";"1996";"561";"78,06";3554607
"Torre de Pedra";"2020";"2320";"1206";"1114";"108,26";"1651";"669";"71,16";3554656
"Torrinha";"2020";"9713";"4847";"4866";"99,61";"8482";"1231";"87,33";3554706
"Trabiju";"2020";"1703";"841";"862";"97,56";"1595";"108";"93,66";3554755
"Tremembé";"2020";"45978";"23882";"22096";"108,08";"42766";"3212";"93,01";3554805
"Três Fronteiras";"2020";"5547";"2758";"2789";"98,89";"4908";"639";"88,48";3554904
"Tuiuti";"2020";"6557";"3296";"3261";"101,07";"3560";"2997";"54,29";3554953
"Tupã";"2020";"62843";"30304";"32539";"93,13";"60322";"2521";"95,99";3555000
"Tupi Paulista";"2020";"14878";"7686";"7192";"106,87";"11685";"3193";"78,54";3555109
"Turiúba";"2020";"1912";"979";"933";"104,93";"1618";"294";"84,62";3555208
"Turmalina";"2020";"1805";"882";"923";"95,56";"1373";"432";"76,07";3555307
"Ubarana";"2020";"6066";"3075";"2991";"102,81";"5608";"458";"92,45";3555356
"Ubatuba";"2020";"88916";"43854";"45062";"97,32";"86842";"2074";"97,67";3555406
"Ubirajara";"2020";"4663";"2397";"2266";"105,78";"3439";"1224";"73,75";3555505
"Uchoa";"2020";"9683";"4781";"4902";"97,53";"9082";"601";"93,79";3555604
"União Paulista";"2020";"1739";"899";"840";"107,02";"1399";"340";"80,45";3555703
"Urânia";"2020";"8611";"4259";"4352";"97,86";"7504";"1107";"87,14";3555802
"Uru";"2020";"1207";"611";"596";"102,52";"1132";"75";"93,79";3555901
"Urupês";"2020";"13164";"6498";"6666";"97,48";"12090";"1074";"91,84";3556008
"Valentim Gentil";"2020";"12770";"6382";"6388";"99,91";"11859";"911";"92,87";3556107
"Valinhos";"2020";"124742";"61300";"63442";"96,62";"119288";"5454";"95,63";3556206
"Valparaíso";"2020";"23988";"13051";"10937";"119,33";"23353";"635";"97,35";3556305
"Vargem";"2020";"10000";"5068";"4932";"102,76";"6290";"3710";"62,9";3556354
"Vargem Grande do Sul";"2020";"41501";"20494";"21007";"97,56";"39933";"1568";"96,22";3556404
"Vargem Grande Paulista";"2020";"52762";"26108";"26654";"97,95";"52762";"-";"100";3556453
