"nome_munic";"codigo_ibge";"dia";"mes";"datahora";"casos";"casos_novos";"casos_pc";"casos_mm7d";"obitos";"obitos_novos";"obitos_pc";"obitos_mm7d";"letalidade";"nome_ra";"cod_ra";"nome_drs";"cod_drs";"pop";"pop_60";"area";"map_leg";"map_leg_s";"latitude";"longitude";"semana_epidem"
"São Paulo";3550308;18;3;2020-03-18;214;58;1,80291600601871;26,4285714285714;3;2;0,0252745234488604;0,428571428571429;0,014018691588785;"RM de São Paulo";10;"Grande São Paulo";10;11869660;1853286;152111;">150";"1";-23,5329;-46,6395;12
"Barueri";3505708;19;3;2020-03-19;1;0;0,378229131207686;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;264390;29409;657;"<10";"7";-23,5057;-46,879;12
"Campinas";3509502;19;3;2020-03-19;1;0;0,0850701105315946;0,142857142857143;0;0;0;0;0;"RA de Campinas";4;"Campinas";3;1175501;192796;79457;"<10";"7";-22,9053;-47,0659;12
"Carapicuíba";3510609;19;3;2020-03-19;2;1;0,506844940927222;0,285714285714286;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;394598;50996;3455;"<10";"7";-23,5235;-46,8407;12
"Cotia";3513009;19;3;2020-03-19;2;1;0,808329022245215;0,285714285714286;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;247424;28357;32399;"<10";"7";-23,6022;-46,919;12
"Ferraz de Vasconcelos";3515707;19;3;2020-03-19;1;0;0,51803540253941;0;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;193037;21049;2956;"<10";"7";-23,5411;-46,371;12
"Guarulhos";3518800;19;3;2020-03-19;1;0;0,0740041812362398;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;1351275;162662;31868;"<10";"7";-23,4538;-46,5333;12
"Jaguariúna";3524709;19;3;2020-03-19;1;0;1,82322053675613;0,142857142857143;0;0;0;0;0;"RA de Campinas";4;"Campinas";3;54848;7339;14139;"<10";"7";-22,7037;-46,9851;12
"Mauá";3529401;19;3;2020-03-19;1;0;0,217328940391018;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;460132;57797;6191;"<10";"7";-23,6677;-46,4613;12
"Osasco";3534401;19;3;2020-03-19;1;0;0,146850641149899;0,142857142857143;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;680964;93147;6495;"<10";"7";-23,5324;-46,7916;12
"Santana de Parnaíba";3547304;19;3;2020-03-19;1;0;0,723945211826369;0;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;138132;16604;17995;"<10";"7";-23,4439;-46,9178;12
"Santo André";3547809;19;3;2020-03-19;2;0;0,288239677056266;0,285714285714286;0;0;0;0;0;"RM de São Paulo";10;"Grande São Paulo";10;693867;123293;17578;"<10";"7";-23,6737;-46,5432;12
