codigo_ibge;nome_munic;nome_ra;cod_ra;pop;area
3555703;União Paulista;RA de São José do Rio Preto;14;1739;79.06
3555802;Urânia;RA de São José do Rio Preto;14;8611;209.26
3556008;Urupês;RA de São José do Rio Preto;14;13164;323.92
3556107;Valentim Gentil;RA de São José do Rio Preto;14;12770;149.74
3556958;Vitória Brasil;RA de São José do Rio Preto;14;1760;49.83
3557105;Votuporanga;RA de São José do Rio Preto;14;91760;420.7
3557154;Zacarias;RA de São José do Rio Preto;14;2560;319.06
3501103;Alto Alegre;RA de Araçatuba;1;4017;318.57
3502101;Andradina;RA de Araçatuba;1;56054;964.23
3502804;Araçatuba;RA de Araçatuba;1;190469;1167.13
3504206;Auriflama;RA de Araçatuba;1;14471;434.5
3504404;Avanhandava;RA de Araçatuba;1;12114;338.37
3505104;Barbosa;RA de Araçatuba;1;7284;205.21
3506201;Bento de Abreu;RA de Araçatuba;1;2945;301.69
3506409;Bilac;RA de Araçatuba;1;7816;158.03
3506508;Birigui;RA de Araçatuba;1;121329;530.03
3507704;Braúna;RA de Araçatuba;1;5552;195.18
3507753;Brejo Alegre;RA de Araçatuba;1;2768;105.69
3508108;Buritama;RA de Araçatuba;1;16596;326.92
3511003;Castilho;RA de Araçatuba;1;20728;1065.32
3511904;Clementina;RA de Araçatuba;1;8324;168.59
3512506;Coroados;RA de Araçatuba;1;5926;246.83
3516507;Gabriel Monteiro;RA de Araçatuba;1;2684;138.68
3516804;Gastão Vidigal;RA de Araçatuba;1;4768;180.57
3516903;General Salgado;RA de Araçatuba;1;10648;494.38
3517109;Glicério;RA de Araçatuba;1;4749;272.8
3518206;Guararapes;RA de Araçatuba;1;32076;955.64
3517802;Guaraçaí;RA de Araçatuba;1;8412;569.2
3518909;Guzolândia;RA de Araçatuba;1;5107;252.48
3520442;Ilha Solteira;RA de Araçatuba;1;25748;652.64
3523008;Itapura;RA de Araçatuba;1;4916;301.65
3526506;Lavínia;RA de Araçatuba;1;8500;537.68
3527256;Lourdes;RA de Araçatuba;1;2182;113.94
3527702;Luiziânia;RA de Araçatuba;1;5754;166.58
3530102;Mirandópolis;RA de Araçatuba;1;28646;917.69
3532108;Murutinga do Sul;RA de Araçatuba;1;4281;250.87
3532868;Nova Castilho;RA de Araçatuba;1;1176;183.4
3533205;Nova Independência;RA de Araçatuba;1;3731;265.03
3533304;Nova Luzitânia;RA de Araçatuba;1;4044;73.82
3537305;Penápolis;RA de Araçatuba;1;60774;711.32
3537404;Pereira Barreto;RA de Araçatuba;1;25391;974.25
