datahora;casos_acum;obitos_acum
2020-07-08; 341365;16788
2020-07-09; 349715;17118
2020-07-10; 359110;17442
2020-07-11; 366890;17702
2020-07-12; 371997;17848
2020-07-13; 374607;17907
2020-07-14; 386607;18324
2020-07-15; 393176;18640
2020-07-16; 402048;19038
2020-07-17; 407415;19377
2020-07-18; 412027;19647
2020-07-19; 415049;19732
2020-07-20; 416434;19788
2020-07-21; 422669;20171
2020-07-22; 439446;20532
2020-07-23; 452007;20894
2020-07-24; 463218;21206
2020-07-25; 479481;21517
2020-07-26; 483982;21606
2020-07-27; 487654;21676
2020-07-28; 500301;22059
2020-07-29; 514197;22389
2020-07-30; 529006;22710
2020-07-31; 542304;22997
2020-08-01; 552318;23236
2020-08-02; 558685;23317
2020-08-03; 560218;23365
2020-08-04; 575589;23702
2020-08-05; 585265;24109
2020-08-06; 598670;24448
2020-08-07; 608379;24735
2020-08-08; 621731;25016
2020-08-09; 627126;25114
2020-08-10; 628415;25151
2020-08-11; 639562;25571
2020-08-12; 655181;25869
2020-08-13; 674455;26324
2020-08-14; 686122;26613
2020-08-15; 697530;26780
2020-08-16; 699493;26852
2020-08-17; 702665;26899
2020-08-18; 711530;27315
2020-08-19; 721377;27591
2020-08-20; 730828;27905
2020-08-21; 735960;28155
2020-08-22; 749244;28392
2020-08-23; 754129;28467
2020-08-24; 756480;28505
2020-08-25; 765670;28912
2020-08-26; 776135;29194
2020-08-27; 784453;29415
2020-08-28; 796209;29694
2020-08-29; 801422;29944
2020-08-30; 803404;29978
2020-08-31; 804342;30014
2020-09-01; 814375;30375
2020-09-02; 826331;30673
2020-09-03; 837978;30905
2020-09-04; 845016;31091
2020-09-05; 853085;31313
2020-09-06; 855722;31353
2020-09-07; 857330;31377
2020-09-08; 858783;31430
2020-09-09; 866576;31821
2020-09-10; 874754;32104
2020-09-11; 882809;32338
2020-09-12; 890690;32567
2020-09-13; 892257;32606
2020-09-14; 893349;32642
2020-09-15; 901271;32963
2020-09-16; 909428;33253
2020-09-17; 916821;33472
2020-09-18; 924532;33678
2020-09-19; 931673;33927
2020-09-20; 935300;33952
2020-09-21; 937332;33984
2020-09-22; 945422;34266
2020-09-23; 951973;34492
2020-09-24; 958240;34677
2020-09-25; 964921;34877
2020-09-26; 970888;35063
2020-09-27; 972237;35108
2020-09-28; 973142;35125
2020-09-29; 979519;35391
2020-09-30; 985628;35622
2020-10-01; 991725;35804
2020-10-02; 997333;35956
2020-10-03;1003429;36136
2020-10-04;1003902;36178
2020-10-05;1004579;36220
2020-10-06;1010839;36490
2020-10-07;1016755;36669
2020-10-08;1022404;36884
2020-10-09;1028190;37068
2020-10-10;1034816;37223
2020-10-11;1037660;37256
2020-10-12;1038344;37279
2020-10-13;1039029;37314
2020-10-14;1045060;37541
2020-10-15;1051613;37690
2020-10-16;1057240;37870
2020-10-17;1062634;37992
2020-10-18;1063602;38020
2020-10-19;1064039;38035
2020-10-20;1068962;38246
2020-10-21;1073261;38371
2020-10-22;1076939;38482
2020-10-23;1083641;38608
2020-10-24;1089255;38726
2020-10-25;1091980;38747
2020-10-26;1092843;38753
2020-10-27;1098207;38885
2020-10-28;1103582;39007
2020-10-29;1108860;39119
2020-10-30;1113788;39255
2020-10-31;1116127;39311
2020-11-01;1117147;39331
2020-11-02;1117795;39346
2020-11-03;1118544;39364
2020-11-04;1123299;39549
2020-11-05;1125936;39717
2020-11-06;1125936;39717
2020-11-07;1125936;39717
2020-11-08;1125936;39717
2020-11-09;1125936;39717
2020-11-10;1147451;39717
2020-11-11;1150872;39907
2020-11-12;1156652;40202
2020-11-13;1162782;40202
2020-11-14;1167422;40549
2020-11-15;1168640;40564
2020-11-16;1169377;40576
2020-11-17;1178075;40749
2020-11-18;1184496;40927
2020-11-19;1191290;41074
2020-11-20;1200348;41179
2020-11-21;1205435;41256
2020-11-22;1209588;41267
2020-11-23;1210625;41276
2020-11-24;1215844;41455
2020-11-25;1224744;41601
2020-11-26;1229267;41773
2020-11-27;1233587;41902
2020-11-28;1238094;42048
2020-11-29;1240473;42076
2020-11-30;1241653;42095
2020-12-01;1250590;42290
2020-12-02;1259704;42456
2020-12-03;1267912;42637
2020-12-04;1276149;42788
2020-12-05;1285087;42969
2020-12-06;1287762;43015
2020-12-07;1288878;43040
2020-12-08;1296801;43282
2020-12-09;1306585;43461
2020-12-10;1316371;43661
2020-12-11;1325162;43802
2020-12-12;1333763;43971
2020-12-13;1334703;44018
2020-12-14;1337016;44050
2020-12-15;1341428;44282
2020-12-16;1341428;44282
2020-12-17;1361731;44681
2020-12-18;1371653;44878
2020-12-19;1384100;45029
2020-12-20;1384100;45029
2020-12-21;1388043;45136
2020-12-22;1398757;45395
2020-12-23;1409140;45576
2020-12-24;1418491;45758
2020-12-25;1422087;45795
2020-12-26;1423340;45808
2020-12-27;1426176;45863
2020-12-28;1427752;45902
2020-12-29;1440229;46195
2020-12-30;1452078;46477
2020-12-31;1462297;46717
2021-01-01;1466191;46775
2021-01-02;1467953;46808
2021-01-03;1471422;46845
2021-01-04;1473670;46888
2021-01-05;1486551;47222
2021-01-06;1501085;47511
2021-01-07;1515158;47768
2021-01-08;1528952;48029
2021-01-09;1540513;48298
2021-01-10;1546132;48351
2021-01-11;1549142;48379
2021-01-12;1561844;48662
2021-01-13;1577119;48985
