nome_munic;codigo_ibge;dia;mes;datahora;casos;casos_novos;casos_pc;casos_mm7d;obitos;obitos_novos;obitos_pc;obitos_mm7d;letalidade;nome_ra;cod_ra;nome_drs;cod_drs;pop;pop_60;area;map_leg;map_leg_s;latitude;longitude
Rio Claro;3543907;27;3;2020-03-27;    1;   0;   0,4969883;   2,8571429;   0;  0; 0,00000000;  0,1428571;0,000000000;RA de Campinas; 4;Piracicaba;11;  201212;  33922; 49842;<10;7;-22.3984;-47.5546
Santana de Parnaíba;3547304;27;3;2020-03-27;    6;   0;   4,3436713;   3,4285714;   0;  0; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  138132;  16604; 17995;<10;7;-23.4439;-46.9178
Santo André;3547809;27;3;2020-03-27;   17;   1;   2,4500373;   4,7142857;   0;  0; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  693867; 123293; 17578;<25;6;-23.6737;-46.5432
São Bernardo do Campo;3548708;27;3;2020-03-27;   15;   2;   1,8470950;   6,2857143;   0;  0; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  812086; 122274; 40953;<25;6;-23.6914;-46.5646
São Caetano do Sul;3548807;27;3;2020-03-27;   16;  -1;  10,5789321;   8,4285714;   0;  0; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  151244;  34932;  1533;<25;6;-23.6229;-46.5548
São José do Rio Preto;3549805;27;3;2020-03-27;    1;   0;   0,2232522;   8,4285714;   0;  0; 0,00000000;  0,1428571;0,000000000;RA de São José do Rio Preto;14;São José do Rio Preto;15;  447924;  79391; 43194;<10;7;-20.8113;-49.3758
São José dos Campos;3549904;27;3;2020-03-27;    4;   2;   0,5628618;   8,5714286;   0;  0; 0,00000000;  0,0000000;0,000000000;RA de São José dos Campos;15;Taubaté;17;  710654; 103840;109941;<10;7;-23.1896;-45.8841
São Paulo;3550308;27;3;2020-03-27; 1044; 145;   8,7955342; 157,5714286;  63;  9; 0,53076499;  9,0000000;0,060344828;RM de São Paulo;10;Grande São Paulo;10;11869660;1853286;152111;>150;1;-23.5329;-46.6395
São Sebastião;3550704;27;3;2020-03-27;    2;   0;   2,2952889; 157,0000000;   0;  0; 0,00000000;  9,0000000;0,000000000;RA de São José dos Campos;15;Taubaté;17;   87135;  10052;  4024;<10;7;-23.7951;-45.4143
Sorocaba;3552205;27;3;2020-03-27;    1;NA;   0,1518495; 154,7142857;   0;NA; 0,00000000;  9,0000000;0,000000000;RA de Sorocaba;13;Sorocaba; 6;  658547;  96498; 45038;<10;7;-23.4969;-47.4451
Suzano;3552502;27;3;2020-03-27;    1;  -1;   0,3436402; 152,7142857;   0;  0; 0,00000000;  9,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  291002;  37156; 20624;<10;7;-23.5448;-46.3112
Taboão da Serra;3552809;27;3;2020-03-27;    2;   0;   0,7045454; 150,7142857;   1;  0; 0,35227269;  9,1428571;0,500000000;RM de São Paulo;10;Grande São Paulo;10;  283871;  32713;  2039;<10;7;-23.6019;-46.7526
Tatuí;3554003;27;3;2020-03-27;    1;   0;   0,8324800; 150,7142857;   0;  0; 0,00000000;  9,1428571;0,000000000;RA de Sorocaba;13;Sorocaba; 6;  120123;  17470; 52375;<10;7;-23.3487;-47.8461
Taubaté;3554102;27;3;2020-03-27;    1;   0;   0,3253503; 150,2857143;   0;  0; 0,00000000;  9,1428571;0,000000000;RA de São José dos Campos;15;Taubaté;17;  307361;  47104;   625;<10;7;-23.0104;-45.5593
Valinhos;3556206;27;3;2020-03-27;    1;   0;   0,8016546;   1,2857143;   0;  0; 0,00000000;  0,1428571;0,000000000;RA de Campinas; 4;Campinas; 3;  124742;  20141; 14854;<10;7;-22.9698;-46.9974
Vargem Grande Paulista;3556453;27;3;2020-03-27;    2;   1;   3,7906069;   1,2857143;   1;  0; 1,89530344;  0,2857143;0,500000000;RM de São Paulo;10;Grande São Paulo;10;   52762;   6337;  4249;<10;7;-23.5993;-47.022
Arujá;3503901;28;3;2020-03-28;    1;   0;   1,1142806;   7,0000000;   0;  0; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;   89744;  10776;  9617;<10;7;-23.3965;-46.32
Barueri;3505708;28;3;2020-03-28;    5;   2;   1,8911457;   7,5714286;   0;  0; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  264390;  29409;   657;<10;7;-23.5057;-46.879
Caieiras;3509007;28;3;2020-03-28;    2;   0;   1,9878345;   7,7142857;   0;  0; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  100612;  12059;  9764;<10;7;-23.3607;-46.7397
Cajamar;3509205;28;3;2020-03-28;    1;NA;   1,2882116;   7,5714286;   0;NA; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;   77627;   7690; 13139;<10;7;-23.355;-46.8781
Campinas;3509502;28;3;2020-03-28;    8;   3;   0,6805609;   8,2857143;   0;  0; 0,00000000;  0,0000000;0,000000000;RA de Campinas; 4;Campinas; 3; 1175501; 192796; 79457;<10;7;-22.9053;-47.0659
Carapicuíba;3510609;28;3;2020-03-28;    2;   0;   0,5068449;   4,7142857;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  394598;  50996;  3455;<10;7;-23.5235;-46.8407
Cotia;3513009;28;3;2020-03-28;    6;   0;   2,4249871;   3,5714286;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  247424;  28357; 32399;<10;7;-23.6022;-46.919
Diadema;3513801;28;3;2020-03-28;    2;   1;   0,4944657;   3,7142857;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  404477;  47787;  3073;<10;7;-23.6813;-46.6205
Embu das Artes;3515004;28;3;2020-03-28;    3;   2;   1,1078696;   3,4285714;   1;  1; 0,36928986;  0,1428571;0,333333333;RM de São Paulo;10;Grande São Paulo;10;  270790;  29639;   704;<10;7;-23.6437;-46.8579
Ferraz de Vasconcelos;3515707;28;3;2020-03-28;    3;   1;   1,5541062;   3,5714286;   0;  0; 0,00000000;  0,1428571;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  193037;  21049;  2956;<10;7;-23.5411;-46.371
Guarulhos;3518800;28;3;2020-03-28;   14;   1;   1,0360585;   5,4285714;   2;  0; 0,14800836;  0,4285714;0,142857143;RM de São Paulo;10;Grande São Paulo;10; 1351275; 162662; 31868;<25;6;-23.4538;-46.5333
Hortolândia;3519071;28;3;2020-03-28;    1;   0;   0,4342766;   4,4285714;   0;  0; 0,00000000;  0,4285714;0,000000000;RA de Campinas; 4;Campinas; 3;  230268;  26129;  6242;<10;7;-22.8529;-47.2143
Iracemápolis;3521408;28;3;2020-03-28;    1;   0;   4,2276148;   4,2857143;   0;  0; 0,00000000;  0,4285714;0,000000000;RA de Campinas; 4;Piracicaba;11;   23654;   3298; 11512;<10;7;-22.5832;-47.523
Itapevi;3522505;28;3;2020-03-28;    1;NA;   0,4206736;   3,5714286;   0;NA; 0,00000000;  0,4285714;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  237714;  23105;  8266;<10;7;-23.5488;-46.9327
Itupeva;3524006;28;3;2020-03-28;    1;NA;   1,6903599;   3,4285714;   0;NA; 0,00000000;  0,4285714;0,000000000;RA de Campinas; 4;Campinas; 3;   59159;   6478; 20082;<10;7;-23.1526;-47.0593
Jaguariúna;3524709;28;3;2020-03-28;    1;   0;   1,8232205;   3,1428571;   0;  0; 0,00000000;  0,2857143;0,000000000;RA de Campinas; 4;Campinas; 3;   54848;   7339; 14139;<10;7;-22.7037;-46.9851
Jandira;3525003;28;3;2020-03-28;    1;NA;   0,8090419;   2,8571429;   0;NA; 0,00000000;  0,2857143;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  123603;  13416;  1745;<10;7;-23.5275;-46.9023
Jundiaí;3525904;28;3;2020-03-28;    3;   0;   0,7370718;   1,2857143;   0;  0; 0,00000000;  0,0000000;0,000000000;RA de Campinas; 4;Campinas; 3;  407016;  69839; 43121;<10;7;-23.1852;-46.8974
Louveira;3527306;28;3;2020-03-28;    1;   0;   2,0717660;   1,2857143;   0;  0; 0,00000000;  0,0000000;0,000000000;RA de Campinas; 4;Campinas; 3;   48268;   4812;  5513;<10;7;-23.0856;-46.9484
Mairiporã;3528502;28;3;2020-03-28;    2;   0;   2,0279451;   1,4285714;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;   98622;  13203;  3207;<10;7;-23.3171;-46.5897
Mauá;3529401;28;3;2020-03-28;    2;   0;   0,4346579;   1,5714286;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  460132;  57797;  6191;<10;7;-23.6677;-46.4613
Mogi das Cruzes;3530607;28;3;2020-03-28;    9;   1;   2,0789781;   2,7142857;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  432905;  60748; 71254;<10;7;-23.5208;-46.1854
Osasco;3534401;28;3;2020-03-28;   10;   6;   1,4685064;   4,0000000;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  680964;  93147;  6495;<25;6;-23.5324;-46.7916
Paulínia;3536505;28;3;2020-03-28;    1;NA;   0,9520455;   4,0000000;   0;NA; 0,00000000;  0,0000000;0,000000000;RA de Campinas; 4;Campinas; 3;  105037;  12690; 13878;<10;7;-22.7542;-47.1488
Penápolis;3537305;28;3;2020-03-28;    1;NA;   1,6454405;   3,7142857;   0;NA; 0,00000000;  0,0000000;0,000000000;RA de Araçatuba; 1;Araçatuba; 7;   60774;  11490; 71132;<10;7;-21.4148;-50.0769
Piracicaba;3538709;28;3;2020-03-28;    1;NA;   0,2564938;   3,7142857;   0;NA; 0,00000000;  0,0000000;0,000000000;RA de Campinas; 4;Piracicaba;11;  389873;  64835;137807;<10;7;-22.7338;-47.6476
Poá;3539806;28;3;2020-03-28;    1;   0;   0,8655161;   3,5714286;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  115538;  15261;  1726;<10;7;-23.5333;-46.3473
Ribeirão Pires;3543303;28;3;2020-03-28;    1;   0;   0,8405622;   3,4285714;   0;  0; 0,00000000;  0,0000000;0,000000000;RM de São Paulo;10;Grande São Paulo;10;  118968;  19424;  9908;<10;7;-23.7067;-46.4058
Ribeirão Preto;3543402;28;3;2020-03-28;    3;   0;   0,4387395;   2,5714286;   1;  0; 0,14624651;  0,1428571;0,333333333;RA de Ribeirão Preto;11;Ribeirão Preto; 1;  683777; 110330; 65092;<10;7;-21.1699;-47.8099
