codigo_ibge;map_mun;cod_drs;cod_ra
3533700;0;5;8
3533809;0;5;8
3534005;0;15;14
3534104;0;5;8
3534203;0;15;14
3534500;0;5;8
3534609;1;5;9
3534807;0;2;9
3534757;0;15;14
3534906;0;5;9
3535002;0;15;14
3535101;0;15;14
3535200;0;15;14
3535408;0;2;9
3535507;0;5;8
3535606;1;17;15
3535705;0;15;14
3535804;3;12;7
3535903;0;15;14
3536000;0;5;8
3536109;0;12;13
3536307;1;4;6
3536406;0;2;9
3536604;0;15;14
3536901;0;15;14
3537008;0;4;6
3537107;0;3;4
3537156;2;5;8
3537404;1;7;1
3537503;0;12;13
3537701;0;7;1
3538501;0;17;15
3539004;0;15;2
3539202;1;2;9
3539608;0;15;14
3539707;0;5;8
3539905;0;15;14
3540002;0;5;8
3540101;0;12;3
3540259;0;15;14
3540309;0;15;14
3540507;0;12;13
3540754;0;17;15
3540804;0;15;14
3540853;1;5;9
3541208;0;2;9
3541307;1;2;9
3541653;0;6;13
3541802;0;5;8
3541901;0;17;15
3542107;0;11;4
3542305;0;17;15
3542503;1;12;3
3542701;0;4;6
3542800;0;6;7
3542909;0;8;5
3543105;0;4;6
3543204;0;5;8
3543238;0;2;9
3543253;0;6;7
3543600;0;4;6
3544004;2;11;4
3544202;0;15;14
3543501;0;6;7
3544251;0;2;9
3544301;0;17;15
3544400;0;7;1
3544509;0;15;14
3544608;0;12;3
3544707;0;5;9
3544806;0;15;14
3544905;0;4;6
3545100;0;5;9
3545159;1;11;4
3545407;1;5;8
3545506;0;2;9
3545605;0;15;14
3545704;0;15;14
3546108;0;15;14
3546256;0;1;11
3546306;1;14;4
3546504;0;8;5
3547007;2;11;4
3547106;0;2;9
3547403;0;15;14
3547601;0;1;11
3547650;0;15;14
3547205;0;15;14
3547700;1;2;9
3548104;0;14;4
3548302;0;2;9
3548401;0;7;1
3548609;0;17;15
3549003;0;15;14
3549201;0;15;14
3549250;0;15;1
3549300;0;2;9
3549508;0;4;6
3549607;0;17;15
3550001;0;17;15
3550506;3;5;8
3550902;0;1;11
3551108;1;6;13
3551207;1;12;7
3551306;0;15;14
3551405;0;1;11
3551801;2;9;16
3551900;0;16;2
