munic;casos;obitos;dia;mes;codigo_ibge;latitude;longitude
santana de parnaiba;  24;NA; 1; 4;3547304;-234439;-469178
santo andre;  72;  3; 1; 4;3547809;-236737;-465432
santos;  72;NA; 1; 4;3548500;-239535; -46335
sao bernardo do campo;  81;  5; 1; 4;3548708;-236914;-465646
sao caetano do sul;  38;  1; 1; 4;3548807;-236229;-465548
sao jose do rio pardo;   1;NA; 1; 4;3549706;-215953;-468873
sao jose do rio preto;  10;NA; 1; 4;3549805;-208113;-493758
sao jose dos campos;  30;NA; 1; 4;3549904;-231896;-458841
sao manuel;   1;NA; 1; 4;3550100;-227321;-485723
sao paulo;3612;220; 1; 4;3550308;-235329;-466395
sao sebastiao;   3;  1; 1; 4;3550704;-237951;-454143
sao vicente;   5;NA; 1; 4;3551009;-239574;-463883
sorocaba;   9;  2; 1; 4;3552205;-234969;-474451
suzano;   9;NA; 1; 4;3552502;-235448;-463112
taboao da serra;  41;  3; 1; 4;3552809;-236019;-467526
tatui;   1;NA; 1; 4;3554003;-233487;-478461
taubate;   1;NA; 1; 4;3554102;-230104;-455593
terra roxa;   1;NA; 1; 4;3554409; -20787;-483314
valinhos;   3;NA; 1; 4;3556206;-229698;-469974
vargem grande paulista;   4;  1; 1; 4;3556453;-235993; -47022
vinhedo;   1;NA; 1; 4;3556701;-230302;-469833
votorantim;   2;NA; 1; 4;3557006;-235446;-474388
votuporanga;   1;NA; 1; 4;3557105;-204237;-499781
outros estados;  34;NA; 1; 4;NA;NA;NA
outros paises;  34;NA; 1; 4;NA;NA;NA
ignorado;   5;NA; 1; 4;NA;NA;NA
guarulhos;NA;  5; 1; 4;3518800;-234538;-465333
cotia;NA;  3; 1; 4;3513009;-236022; -46919
osasco;NA;  3; 1; 4;3534401;-235324;-467916
santos;NA;  2; 1; 4;3548500;-239535; -46335
caieiras;NA;  1; 1; 4;3509007;-233607;-467397
diadema;NA;  1; 1; 4;3513801;-236813;-466205
embu das artes;NA;  1; 1; 4;3515004;-236437;-468579
francisco morato;NA;  1; 1; 4;3516309;-232792;-467448
itapevi;NA;  1; 1; 4;3522505;-235488;-469327
aguas de lindoia;   1;NA; 3; 4;3500501;-224733;-466314
agudos;   1;NA; 3; 4;3500709;-224694;-489863
americana;   3;  2; 3; 4;3501608;-227374;-473331
araraquara;   2;NA; 3; 4;3503208;-217845; -48178
aracatuba;   4;NA; 3; 4;3502804;-212076;-504401
